Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-03-21,Vishwaroopam,2013,https://boxd.it/660FCd,5,,,2024-03-20
2024-03-21,Vishwaroopam II,2018,https://boxd.it/660Gt7,4,,,2024-03-20
2024-03-27,Geethanjali,1989,https://boxd.it/68IDpn,5,,,2024-03-26
2024-03-27,Training Day,2001,https://boxd.it/68IDIT,4,,,2024-03-26
2024-03-29,Aalavandhan,2001,https://boxd.it/69BvFH,4,,,2024-03-28
2024-03-29,Midsommar,2019,https://boxd.it/69WDhv,4.5,,,2024-03-29
2024-03-29,Godzilla × Kong: The New Empire,2024,https://boxd.it/69YNSb,4,,,2024-03-29
2024-03-31,Siva,1989,https://boxd.it/6ayov9,4.5,,,2024-03-30
2024-04-02,Pudhupettai,2006,https://boxd.it/6bKuJf,4.5,,,2024-04-01
2024-04-03,Swades,2004,https://boxd.it/6cxtVR,5,,,2024-04-03
2024-04-04,Seven Samurai,1954,https://boxd.it/6cVNmb,5,,,2024-04-04
2024-04-06,Ikiru,1952,https://boxd.it/6dLxfd,5,,,2024-04-06
2024-04-07,Dune: Part Two,2024,https://boxd.it/6efef9,5,,,2024-04-07
2024-04-13,A Writer's Odyssey,2021,https://boxd.it/6gFzSL,4,,,2024-04-13
2024-04-14,Premalu,2024,https://boxd.it/6h7bwx,5,,,2024-04-14
2024-04-14,Gaami,2024,https://boxd.it/6h7bOB,5,,,2024-04-14
2024-04-14,Drive,2011,https://boxd.it/6h7bVR,5,,,2024-04-14
2024-04-17,Rockstar,2011,https://boxd.it/6i0QSf,4.5,,,2024-04-16
2024-04-17,Lagaan: Once Upon a Time in India,2001,https://boxd.it/6ifkCJ,5,,,2024-04-17
2024-04-17,PK,2014,https://boxd.it/6ihYqH,5,,,2024-04-17
2024-04-20,Vada Chennai,2018,https://boxd.it/6j0Gm3,4.5,,,2024-04-19
2024-04-21,Sanju,2018,https://boxd.it/6jEoIZ,5,,,2024-04-21
2024-04-26,Monkey Man,2024,https://boxd.it/6lnmEP,4,,,2024-04-25
2024-04-28,Saani Kaayidham,2022,https://boxd.it/6mwaqX,3.5,,,2024-04-28
2024-04-28,Mayakkam Enna,2011,https://boxd.it/6mwbqJ,4.5,,,2024-04-28
2024-04-30,Lost Ladies,2023,https://boxd.it/6nogXh,5,,,2024-04-30
2024-05-02,(Tillu)²,2024,https://boxd.it/6odwnr,3,,,2024-05-02
2024-05-03,Kaaka Muttai,2014,https://boxd.it/6opn2N,5,,,2024-05-02
2024-05-04,Godzilla Minus One,2023,https://boxd.it/6oNIyD,5,,,2024-05-03
2024-05-05,Into the Wild,2007,https://boxd.it/6pEy2j,4,,,2024-05-05
2024-05-06,Killer's Kiss,1955,https://boxd.it/6pL0c9,4,,,2024-05-05
2024-05-06,Manjummel Boys,2024,https://boxd.it/6qdN4p,5,,,2024-05-06
2024-05-06,Brothers,2009,https://boxd.it/6qghDX,4,,,2024-05-06
2024-05-10,Memories of Murder,2003,https://boxd.it/6roqHJ,5,,,2024-05-09
2024-05-11,Shaitaan,2024,https://boxd.it/6rKZNB,4,,,2024-05-10
2024-05-12,Aavesham,2024,https://boxd.it/6ssRuT,5,,,2024-05-12
2024-05-12,Kingdom of the Planet of the Apes,2024,https://boxd.it/6sxA3L,4.5,,,2024-05-12
2024-05-15,The Lobster,2015,https://boxd.it/6tr3hR,4.5,,,2024-05-14
2024-05-18,Amadeus,1984,https://boxd.it/6usbVB,5,,,2024-05-17
2024-05-19,Lars and the Real Girl,2007,https://boxd.it/6uOG4x,5,,,2024-05-18
2024-05-22,Zara Hatke Zara Bachke,2023,https://boxd.it/6w8y5L,3.5,,,2024-05-21
2024-05-23,Challengers,2024,https://boxd.it/6wKvGF,4,,,2024-05-23
2024-05-24,The Fall Guy,2024,https://boxd.it/6wVEon,4,,,2024-05-23
2024-05-25,Maidaan,2024,https://boxd.it/6xxW5p,4,,,2024-05-25
2024-05-26,A Tale of Two Sisters,2003,https://boxd.it/6xZYmN,4,,,2024-05-26
2024-05-27,Sasquatch Sunset,2024,https://boxd.it/6yCWut,4.5,,,2024-05-27
2024-05-29,Crew,2024,https://boxd.it/6z7VVF,2.5,,,2024-05-28
2024-05-31,Civil War,2024,https://boxd.it/6zRZCp,3.5,,,2024-05-30
2024-05-31,Her,2013,https://boxd.it/6AbuoV,4.5,,,2024-05-31
2024-06-02,All of Us Strangers,2023,https://boxd.it/6B1Z0p,3.5,,,2024-06-02
2024-06-02,The Descent,2005,https://boxd.it/6B5ZLt,4,,,2024-06-02
2024-06-03,The Seventh Seal,1957,https://boxd.it/6BzkH1,4,,,2024-06-03
2024-06-04,Primal Fear,1996,https://boxd.it/6BU8nP,4.5,,,2024-06-04
2024-06-04,The First Omen,2024,https://boxd.it/6BXKgj,4.5,,,2024-06-04
2024-06-06,Moondram Pirai,1982,https://boxd.it/6CDRrx,5,,,2024-06-06
2024-06-08,Mother,2009,https://boxd.it/6Dm39t,4.5,,,2024-06-08
2024-06-08,Fractured,2019,https://boxd.it/6DnWQz,3.5,,,2024-06-08
2024-06-08,The Wailing,2016,https://boxd.it/6DqeNR,4.5,,,2024-06-08
2024-06-09,Edge of Tomorrow,2014,https://boxd.it/6Dv9sp,5,,,2024-06-08
2024-06-09,Parasite,2019,https://boxd.it/6DQvXB,5,,,2024-06-09
2024-06-11,Annihilation,2018,https://boxd.it/6EqLG9,4,,,2024-06-10
2024-06-16,Suspiria,2018,https://boxd.it/6GeuJJ,4,,,2024-06-15
2024-06-16,Shin Godzilla,2016,https://boxd.it/6GzMdX,4.5,,,2024-06-16
2024-06-17,Now You See Me 2,2016,https://boxd.it/6GGGOR,4,,,2024-06-16
2024-06-17,The Usual Suspects,1995,https://boxd.it/6GZbCX,4.5,,,2024-06-17
2024-06-17,Hit Man,2023,https://boxd.it/6H3FNJ,4.5,,,2024-06-17
2024-06-18,Scouts Guide to the Zombie Apocalypse,2015,https://boxd.it/6H8Gbh,3,,,2024-06-17
2024-06-19,The Thing,1982,https://boxd.it/6HQnud,5,,,2024-06-19
2024-06-20,Stalker,1979,https://boxd.it/6HUlnH,4.5,,,2024-06-19
2024-06-20,The Others,2001,https://boxd.it/6IaXJj,4.5,,,2024-06-20
2024-06-20,Star,2024,https://boxd.it/6IcSfH,4.5,,,2024-06-20
2024-06-20,Flight,2012,https://boxd.it/6IegWn,5,,,2024-06-20
2024-06-22,The Tree of Life,2011,https://boxd.it/6ICaxJ,4,,,2024-06-21
2024-06-22,"Lock, Stock and Two Smoking Barrels",1998,https://boxd.it/6ITjix,4.5,,,2024-06-22
2024-06-23,Cure,1997,https://boxd.it/6JnMMh,5,,,2024-06-23
2024-06-29,Furiosa: A Mad Max Saga,2024,https://boxd.it/6Lon45,4.5,,,2024-06-28
2024-06-30,Downfall,2004,https://boxd.it/6LNF1t,4.5,,,2024-06-29
2024-07-01,Ghost in the Shell,1995,https://boxd.it/6MyP89,4.5,,,2024-07-01
2024-07-01,Once Upon a Time in America,1984,https://boxd.it/6MyPET,5,,,2024-07-01
2024-07-03,Eyes Wide Shut,1999,https://boxd.it/6N339v,5,,,2024-07-02
2024-07-03,Blade Runner,1982,https://boxd.it/6N33XP,5,,,2024-07-02
2024-07-03,Burning,2018,https://boxd.it/6Nqdvn,4.5,,,2024-07-03
2024-07-03,Fantastic Planet,1973,https://boxd.it/6Nr4d7,4,,,2024-07-03
2024-07-04,Pinocchio,1940,https://boxd.it/6NsyqH,4.5,,,2024-07-03
2024-07-05,I Saw the Devil,2010,https://boxd.it/6NRvl5,5,,,2024-07-04
2024-07-05,The Other Me,2016,https://boxd.it/6Of1PR,5,,,2024-07-05
2024-07-06,Equilibrium,2002,https://boxd.it/6Ohd1t,4,,,2024-07-05
2024-07-06,Exhuma,2024,https://boxd.it/6OCtkt,4.5,,,2024-07-06
2024-07-07,Peranbu,2018,https://boxd.it/6OIfqp,4,,,2024-07-06
2024-07-08,The Outlaws,2017,https://boxd.it/6Pz9Cb,4.5,,,2024-07-08
2024-07-09,Pawn,2020,https://boxd.it/6PGg2j,5,,,2024-07-08
2024-07-10,"The Gangster, the Cop, the Devil",2019,https://boxd.it/6Q89Ld,4.5,,,2024-07-09
2024-07-10,Miracle in Cell No. 7,2013,https://boxd.it/6QsHVB,4.5,,,2024-07-10
2024-07-10,20th Century Girl,2022,https://boxd.it/6QvEid,4.5,,,2024-07-10
2024-07-11,The Invisible Guest,2016,https://boxd.it/6QTLwz,5,,,2024-07-11
2024-07-11,Children of Heaven,1997,https://boxd.it/6QVSdN,5,,,2024-07-11
2024-07-13,Maharaja,2024,https://boxd.it/6RMs0J,5,,,2024-07-13
2024-07-14,Capernaum,2018,https://boxd.it/6RPAyZ,5,,,2024-07-13
2024-07-14,Inside Out,2015,https://boxd.it/6SjBHN,4,,,2024-07-14
2024-07-16,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/6SPRyr,4.5,,,2024-07-15
2024-07-16,Life Is Beautiful,1997,https://boxd.it/6TenBZ,4.5,,,2024-07-16
2024-07-18,Twinkling Watermelon,2023,https://boxd.it/6TLuIz,4.5,,,2024-07-17
2024-07-19,Malik,2021,https://boxd.it/6UsKBP,4.5,,,2024-07-19
2024-07-19,The Silence of the Lambs,1991,https://boxd.it/6Uvlqj,4.5,,,2024-07-19
2024-07-19,Rear Window,1954,https://boxd.it/6UwX69,4.5,,,2024-07-19
2024-07-19,The Neighbors,2012,https://boxd.it/6Uy413,5,,,2024-07-19
2024-07-20,Upstream Color,2013,https://boxd.it/6UTiAX,3.5,,,2024-07-20
2024-07-21,The Goat Life,2024,https://boxd.it/6UYD6T,4.5,,,2024-07-20
2024-07-21,Cashback,2006,https://boxd.it/6V1a6V,3,,,2024-07-20
2024-07-21,Career Opportunities,1991,https://boxd.it/6VnWkP,3,,,2024-07-21
2024-07-26,Kill,2023,https://boxd.it/6XnV5x,4.5,,,2024-07-25
2024-07-27,Host,2020,https://boxd.it/6XPXSR,4.5,,,2024-07-26
2024-07-29,Deadpool & Wolverine,2024,https://boxd.it/6YKJ19,4,,,2024-07-28
